Job Title,Company,Industry,City,Experience,Employment Type,Work Mode,Company Email,Description,Posted Date
UI/UX Designer,ICICI Bank,Healthcare,Indore,0-1 Years,Full Time,On-site,careers@icicibank.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2025-12-19
Software Engineer,Amazon India,Marketing & Advertising,Lucknow,0-1 Years,Full Time,Remote,careers@amazonindia.com,"Design, develop, and maintain scalable software applications. Debug, test, and optimize code for high performance. Participate in code reviews and improve development standards. Write technical documentation and ensure proper version control.",2025-11-28
Warehouse Manager,L&T,Construction,Pune,1-3 Years,Contract,Hybrid,careers@l&t.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2026-01-20
Graphic Designer,ICICI Bank,Retail,Bengaluru,0-1 Years,Contract,On-site,careers@icicibank.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-11-21
HR Executive,Reliance Industries,Healthcare,Bhopal,3-5 Years,Part Time,On-site,careers@relianceindustries.com,"Manage recruitment, onboarding, and employee documentation. Maintain records of employee attendance and leave. Coordinate HR policies, payroll support, and compliance. Assist in employee engagement and performance management.",2026-01-15
Accountant,Adani Group,Education,Pune,1-3 Years,Part Time,On-site,careers@adanigroup.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2026-01-08
Data Analyst,HDFC Bank,Logistics,Bengaluru,0-1 Years,Full Time,Hybrid,careers@hdfcbank.com,Ensure data accuracy and maintain database integrity. Analyze large datasets to extract actionable insights. Create dashboards and reports to support business decisions. Work with stakeholders to understand data requirements.,2025-12-22
Hospital Administrator,HDFC Bank,Banking & Finance,Bengaluru,5+ Years,Full Time,Hybrid,careers@hdfcbank.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-12-03
Mechanical Engineer,Amazon India,Construction,Indore,Fresher,Part Time,On-site,careers@amazonindia.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2025-11-26
Content Writer,L&T,Construction,Mumbai,0-1 Years,Internship,On-site,careers@l&t.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-12-04
Site Supervisor,Mahindra & Mahindra,IT Services,Nagpur,5+ Years,Contract,Remote,careers@mahindra&mahindra.com,Monitor project progress and report to management. Schedule labor and resources efficiently to meet deadlines. Ensure safety standards and material quality. Supervise construction activities at the site.,2026-01-09
Hospital Administrator,Reliance Industries,IT Services,Bhopal,5+ Years,Internship,Remote,careers@relianceindustries.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-12-13
Data Analyst,Byju's,Retail,Mumbai,5+ Years,Internship,Hybrid,careers@byju's.com,Create dashboards and reports to support business decisions. Work with stakeholders to understand data requirements. Ensure data accuracy and maintain database integrity. Implement data cleaning and transformation pipelines.,2025-12-12
Civil Engineer,Amazon India,IT Services,Kolkata,Fresher,Part Time,Hybrid,careers@amazonindia.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2026-01-07
Project Coordinator,Flipkart,Education,Mumbai,0-1 Years,Part Time,Remote,careers@flipkart.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2026-01-05
Accountant,ICICI Bank,Healthcare,Indore,0-1 Years,Part Time,Hybrid,careers@icicibank.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2026-01-17
Assistant Professor,Flipkart,Marketing & Advertising,Ahmedabad,5+ Years,Part Time,Remote,careers@flipkart.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-12-22
Site Supervisor,Apollo Hospitals,Logistics,Gurgaon,5+ Years,Full Time,Hybrid,careers@apollohospitals.com,Monitor project progress and report to management. Supervise construction activities at the site. Schedule labor and resources efficiently to meet deadlines. Ensure safety standards and material quality.,2026-01-02
HR Executive,HDFC Bank,Banking & Finance,Kolkata,Fresher,Contract,Hybrid,careers@hdfcbank.com,"Coordinate HR policies, payroll support, and compliance. Assist in employee engagement and performance management. Support training and development initiatives. Manage recruitment, onboarding, and employee documentation.",2025-12-14
Electrical Technician,Infosys,Logistics,Noida,1-3 Years,Internship,Remote,careers@infosys.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-11-22
Staff Nurse,HDFC Bank,Healthcare,Chennai,Fresher,Contract,Remote,careers@hdfcbank.com,Monitor patient vitals and administer medications. Assist in emergency situations and routine checkups. Maintain medical records and ensure hygiene standards. Provide patient care and assist doctors in clinical procedures.,2025-12-22
Site Supervisor,Adani Group,Education,Pune,0-1 Years,Part Time,Remote,careers@adanigroup.com,Monitor project progress and report to management. Supervise construction activities at the site. Coordinate with engineers and contractors. Ensure safety standards and material quality.,2026-01-05
Civil Engineer,HDFC Bank,Education,Jaipur,5+ Years,Full Time,Hybrid,careers@hdfcbank.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-12-22
Interior Designer,Adani Group,Construction,Hyderabad,3-5 Years,Contract,Remote,careers@adanigroup.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2026-01-02
Mechanical Engineer,Adani Group,Manufacturing,Gurgaon,1-3 Years,Part Time,Remote,careers@adanigroup.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2026-01-07
Marketing Executive,Infosys,Education,Pune,5+ Years,Internship,Hybrid,careers@infosys.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2025-12-17
Mechanical Engineer,ICICI Bank,Logistics,Kolkata,1-3 Years,Contract,Remote,careers@icicibank.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2025-11-28
Accountant,L&T,Retail,Indore,3-5 Years,Part Time,Hybrid,careers@l&t.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-12-06
